"","ObjID","feature","Indiv","GE","box","form_vessel","Pos","Verz","Notiz","site"
"48",329,"07/2","/II-1:6",NA,"C2","1","2 Rand","4","Kammeindtiche-/drücke","02_Burials_Center"
"49",330,"07/2","/II-1:65",NA,"C2",NA,"0 unbekannt","1 a","","02_Burials_Center"
"50",331,"07/2","/II-1:7",NA,"C2","1","2 Rand","4","Kammeinstiche/-drücke Fischgräte","02_Burials_Center"
"51",331,"07/2","/II-1:7",NA,"C2","1","3 Oberteil","1 a","","02_Burials_Center"
"52",331,"07/2","/II-1:7",NA,"C2","1","3 Oberteil","10 a","horizontale Rillen/auf der 'Wulst' Kammeindrücke (Pkt-Reihe)","02_Burials_Center"
"53",332,"07/2","/II-2:12",NA,"C2",NA,"6 Bauch","1 a","","02_Burials_Center"
"54",333,"07/2","/II-2:15",NA,"C2",NA,"7 Unterteil","11 f","horizontale Rillen, auf der 'Wulst' Kammeindrücke (Pkt-Reihe), darunter Reihen aus Kammeindrücken/-stichen Fischgräte und vertikal","02_Burials_Center"
"55",334,"07/2","/II-2:2 /II-3:2,57,62",NA,"C2","2","5 Schulter","4","","02_Burials_Center"
"56",334,"07/2","/II-2:2 /II-3:2,57,62",NA,"C2","2","3 Oberteil","1 a","","02_Burials_Center"
"57",334,"07/2","/II-2:2 /II-3:2,57,62",NA,"C2","2","6 Bauch","1 a","","02_Burials_Center"
"58",334,"07/2","/II-2:2 /II-3:2,57,62",NA,"C2","2","4 Hals","1 a","","02_Burials_Center"
"59",335,"07/2","/II-2:24",NA,"C2","1","2 Rand","4","Kammeinstiche/-drücke überkreuzt","02_Burials_Center"
"60",336,"07/2","/II-2:25",NA,"C2","1","2 Rand","4","Kammeinstiche diagonal bzw überkreuzt","02_Burials_Center"
"61",336,"07/2","/II-2:25",NA,"C2","1","3 Oberteil","1 a","horizontale Rillen","02_Burials_Center"
"62",337,"07/2","/II-2:26",NA,"C2","1","2 Rand","4","Kammeinstiche diagonal bzw überkreuzt","02_Burials_Center"
"63",337,"07/2","/II-2:26",NA,"C2","1","3 Oberteil","1 a","","02_Burials_Center"
"64",337,"07/2","/II-2:26",NA,"C2","1","3 Oberteil","10 a","horizontale Rillen/auf der 'Wulst' Kammeindrücke (Pkt-Reihe)","02_Burials_Center"
