FdSt,Komplex,Ind,T_abs_m,T,T_cm,Bef,Lab,ProbenNr,P_p,P_mg-g,pH,N_p,Cges_p,Corg_p,orgSub,C-N,Fe,Mn,Ca,Mg,K,Na
CAM,07/7,-8,"-0,64",,"0,48",grave,Frankfurt,CAM 7,"0,0447",,"3,96",,"0,35","0,35","0,6",,,,,,,
CAM,07/9,-1,"-0,43",,"0,09",grave,Frankfurt,CAM 8,"0,031",,"4,09",,"0,69","0,69","1,19",,,,,,,
CAM,07/10,-4,"-0,61 bis ?",,"0,21",grave,Frankfurt,CAM 9,"0,0234",,"4,02",,"0,39","0,39","0,67",,,,,,,
CAM,07/10,-4,"-0,62 bis ?",,"0,22",bedrock,Frankfurt,CAM 10,"0,0209",,4,,"0,28","0,28","0,48",,,,,,,
CAM,07/11,/II-2c,"-0,70 bis -1,00",,"0,45",pit,Frankfurt,CAM 11,"0,0432",,"3,88",,"0,48","0,48","0,83",,,,,,,
CAM,07/11,/I-7,"-1,76",,"1,36",pit,Frankfurt,CAM 12,"0,7689",,"3,89",,"0,43","0,43","0,74",,,,,,,
CAM,07/12,/II-3,"-1,06",,"0,26",grave,Frankfurt,CAM 13,"0,0595",,"3,81",,"0,34","0,34","0,59",,,,,,,
CAM,07/13,/II-3b,"-1,07 bis -1,39",123,"0,62",pit,Frankfurt,CAM 14,"0,0549",,"3,96",,"0,26","0,26","0,45",,,,,,,
CAM,07/13,/II-2a+2b,"-2,13 bis -2,45",229,"1,68",pit,Frankfurt,CAM 15,"0,2918",,"3,75",,"0,29","0,29","0,5",,,,,,,
MNT,/,/,"ca. -1,20 m",120,,bedrock,Frankfurt,MNT 08/1,"0,0368",,,,,,,,,,,,,
MNT,08/1,/I-8,"ca. -2,10 m",210,,pit,Frankfurt,MNT 08/2,"1,7559",,,,,,,,,,,,,
MNT,08/2,/II-?,"ca. -2,49 m",249,,pit,Frankfurt,MNT 08/3,"0,9294",,,,,,,,,,,,,
MNT,08/2,/I-10,"-2,45 bis -2,95 m",270,,pit,Frankfurt,MNT 08/4,"0,6469",,,,,,,,,,,,,
MNT,08/2,/II-8,"-1,32 bis -? m",132,,pit,Frankfurt,MNT 08/5,"0,1392",,,,,,,,,,,,,
NKP,/,/,"ca. 1,50 m",150,,bedrock,Frankfurt,NKP 08/1,"0,0356",,,,,,,,,,,,,
NKP,08/10,/II-3,"ca. -2,90 m",290,,pit,Frankfurt,NKP 08/2,"2,2076",,,,,,,,,,,,,
NKP,08/10,/II-16,"-1,74 m -? m",174,,pit,Frankfurt,NKP 08/3,"0,0936",,,,,,,,,,,,,
BGF,08/17,/I-3,"0,36-0,5",43,,bedrock,Frankfurt,MEY 08/1,"0,038",,"4,62","0,095665","0,72","0,72","1,24","7,53",,,,,,
BGF,08/17,/II-3,"0,87",87,,,Frankfurt,MEY 08/2,"0,0431",,"5,33","0,07678","0,88","0,88","1,52","11,46",,,,,,
BGF,08/21,/II-2,"0,5-0,7",60,,,Frankfurt,MEY 08/3,"0,0193",,"4,07","0,07824","0,58","0,58",1,"7,41",,,,,,
BGF,08/23,/II-4a,"1,08",108,,,Frankfurt,MEY 08/4,"0,0556",,"3,96","0,13735","3,03","3,03","5,22","22,06",,,,,,
BGF,08/6,/II-3,"0,42-0,65",53,,,Frankfurt,MEY 08/5,"0,0401",,"4,03","0,1075","1,64","1,64","2,83","15,26",,,,,,
BGF,08/8,,"1,3",130,,bedrock,Frankfurt,MEY 08/6,"0,0153",,"4,05","0,01391","0,3","0,3","0,52","21,57",,,,,,
BGF,08/8,/II-2,"1,11",111,,,Frankfurt,MEY 08/7,"0,0217",,"3,91","0,06968","0,78","0,78","1,34","11,19",,,,,,
MPG,08/11,,"1,59",159,,bedrock,Frankfurt,MEY 08/8,"0,0535",,"4,07","0,0612","0,33","0,33","0,57","5,39",,,,,,
MPG,08/11,/II-5,"0,85",85,,,Frankfurt,MEY 08/9,"0,0562",,"4,68","0,11691","0,77","0,77","1,33","6,59",,,,,,
