ID,T_cm,P_mg.g,sample
E1,90,"1,13",pit
E6,110,"2,83",pit
E2(b),160,"3,22",pit
E7,140,"7,79",pit
E3(B),175,"13,3",pit
E3(a),175,"1,07",pit
E2.c,175,"6,31",pit
E2(a),180,"11,6",pit
E3,190,"30,1",pit
E4,210,"0,576",bedrock
