ID,T_cm,P_mg.g,sample
E1,30,"0,951",pit
E2,120,"0,911",pit
E3,210,"1,57",pit
E4,250,"6,82",pit
E5,260,"5,11",pit
E6,280,"6,47",pit
E7,340,"12,6",pit
